"","SAMPLE_NUMBER","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","REPLICATE_COUNT","ENTRY2"
"1",9778722,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.2",1,NA
"2",9778722,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.2",2,NA
"3",9778722,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.2",3,NA
"4",9856005,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",2,NA
"5",9856005,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",3,NA
"6",9856005,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",1,NA
"7",9856007,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",1,NA
"8",9856007,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",2,NA
"9",9856007,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",3,NA
"10",9856009,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",2,NA
"11",9856009,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",3,NA
"12",9856009,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",1,NA
"13",9856011,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",1,NA
"14",9856011,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",2,NA
"15",9856011,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",3,NA
"16",9856014,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",2,NA
"17",9856014,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",3,NA
"18",9856014,"AFLA020493","Aflatoxin M1","UG_P_L","alfa",1,NA
"19",9882446,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"20",9882458,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"21",9882460,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"22",9882463,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"23",9882465,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"24",9882513,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"25",9882515,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"26",9882517,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"27",9882525,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"28",9882527,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"29",9882529,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"30",9895642,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.05",1,NA
"31",9895642,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",2,NA
"32",9895642,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",3,NA
"33",9895643,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",2,NA
"34",9895643,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",3,NA
"35",9895643,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.05",1,NA
"36",9895644,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.05",1,NA
"37",9895644,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",2,NA
"38",9895644,"AFLA020493","Aflatoxin M1","UG_P_KG","<0.05",3,NA
"39",10046262,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",1,NA
"40",10046262,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",2,NA
"41",10046262,"AFLA020493","Aflatoxin M1","UG_P_L",">0.05",3,NA
"42",10063907,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.2",1,NA
"43",10063907,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.2",3,NA
"44",10063973,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.5",2,NA
"45",10063973,"AFLA020493","Aflatoxin M1","UG_P_KG",">0.5",3,NA
