SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
6954995,2/01/15 8:29,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.235344522
6959710,5/01/15 8:49,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.238114173
6968339,7/01/15 13:51,VITB011208,SGURRALA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.309506594
6974279,9/01/15 7:56,VITB011208,JHOU,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.308761723
6980944,12/01/15 8:44,VITB011208,JHOU,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.256106068
6991811,15/01/15 7:46,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.203056165
7003676,19/01/15 8:03,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.230165579
7006761,20/01/15 8:03,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.232698463
7015274,22/01/15 7:48,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.215742566
7019180,23/01/15 8:05,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.225568979
7027705,27/01/15 8:52,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.216103908
7039510,30/01/15 8:03,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.26
7046829,2/02/15 7:45,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.266346908
7050151,3/02/15 8:35,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.215790046
7054342,4/02/15 8:11,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.231933324
7062719,6/02/15 7:58,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.248387012
7070164,9/02/15 8:18,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.239671662
7073650,10/02/15 8:39,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.242413921
7082511,12/02/15 7:44,VITB011208,DBASSANESE,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.26
7089897,13/02/15 13:38,VITB011208,JHOU,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.198190699
7094748,16/02/15 6:23,VITB011208,RREDDY,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.3
7109469,19/02/15 14:05,VITB011208,HWAIDYARAT,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.281389189
7118484,23/02/15 6:28,VITB011208,RREDDY,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.248377892
7123800,24/02/15 13:05,VITB011208,JKUSUMA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.272781967
7131551,26/02/15 10:52,VITB011208,MXU,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.264779373
7134589,27/02/15 7:47,VITB011208,JHOU,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.293017238
7143400,2/03/15 13:02,VITB011208,JKUSUMA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.279679829
7147651,3/03/15 12:53,VITB011208,JKUSUMA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.314948089
7156889,5/03/15 12:09,VITB011208,JKUSUMA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.215907359
7163378,6/03/15 19:36,VITB011208,JKUSUMA,IRM001A,Vitamin B1 (Thiamine),MG_P_100G,1.22600078
