"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"6959425","05/01/2015 06:31:16 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","40.795215795"
"6974352","09/01/2015 08:20:12 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","43.143512345"
"6981418","12/01/2015 10:29:15 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","39.506594382"
"6988688","14/01/2015 09:21:07 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","39.076746972"
"6991105","14/01/2015 03:55:29 PM","CHOL020493","YOWADA","IRM001A","Cholesterol","MG_P_100G","38.640884701"
"6996992","16/01/2015 10:07:54 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","43.159425706"
"7003883","19/01/2015 09:30:06 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","43.92419261"
"7011893","21/01/2015 09:59:58 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","41.441582959"
"7019086","23/01/2015 07:12:54 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","39.269177492"
"7028333","27/01/2015 10:44:31 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","39.188662902"
"7039700","30/01/2015 09:03:34 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","36.242782013"
"7058319","05/02/2015 07:35:45 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","38.331673414"
"7070188","09/02/2015 08:40:02 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","39.308144092"
"7078148","11/02/2015 08:57:39 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","39.273756901"
"7093666","15/02/2015 08:32:41 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","32.140530708"
"7103380","18/02/2015 09:37:51 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.219648432"
"7103388","18/02/2015 09:38:45 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.347537946"
"7103391","18/02/2015 09:38:55 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.201336512"
"7121932","24/02/2015 08:57:26 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","29.133344853"
"7130415","26/02/2015 08:42:45 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","34.693903676"
"7130471","26/02/2015 08:51:25 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","33.252242303"
"7130472","26/02/2015 08:51:41 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","33.907083438"
"7141783","02/03/2015 07:47:57 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","34.412826373"
"7143192","02/03/2015 12:06:12 PM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","33.466621289"
"7143193","02/03/2015 12:06:34 PM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","32.816047424"
"7159437","06/03/2015 07:45:21 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","33.511837736"
"7188570","16/03/2015 09:58:02 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.866733193"
"7188571","16/03/2015 09:59:05 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.663665393"
"7188575","16/03/2015 09:59:16 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.285105222"
"7211540","23/03/2015 06:32:22 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.13603033"
"7211544","23/03/2015 06:33:31 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.638115305"
"7211548","23/03/2015 06:33:46 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.618596477"
"7218526","24/03/2015 03:31:46 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.785623378"
"7218548","24/03/2015 03:33:02 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","32.99299727"
"7218551","24/03/2015 03:33:23 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","32.834765588"
"7226077","26/03/2015 11:26:42 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","32.294563015"
"7228740","27/03/2015 07:30:30 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","32.941971042"
"7237357","30/03/2015 02:01:44 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.233159527"
"7237466","30/03/2015 02:33:29 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.20622816"
"7243966","01/04/2015 07:15:06 AM","CHOL020493","KNG","IRM001A","Cholesterol","MG_P_100G","32.282768778"
"7279830","13/04/2015 09:53:17 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","31.199267629"
"7310102","21/04/2015 09:35:44 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","31.907492923"
"7353843","04/05/2015 06:30:06 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.510069049"
"7376821","11/05/2015 09:51:13 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.812177329"
"7384378","13/05/2015 06:23:24 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.018716231"
"7401147","18/05/2015 10:05:19 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.486951374"
"7426304","26/05/2015 06:27:57 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.187111774"
"7444399","01/06/2015 06:33:59 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.701621346"
"7469863","10/06/2015 10:04:47 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.108062059"
"7473484","11/06/2015 08:45:11 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.925590654"
"7477654","12/06/2015 08:30:15 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.779866471"
"7484034","15/06/2015 08:46:58 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.135095108"
"7489263","16/06/2015 01:43:50 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.385745532"
"7493701","17/06/2015 03:09:54 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.87715387"
"7505390","22/06/2015 08:31:58 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.849905083"
"7522463","26/06/2015 12:07:33 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.44531049"
"7541616","02/07/2015 02:39:56 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","32.92204832"
"7556645","08/07/2015 08:24:52 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.918957686"
"7564165","10/07/2015 08:31:28 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","31.004147117"
"7568599","12/07/2015 08:57:02 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.225105927"
"7578603","15/07/2015 02:16:35 PM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","31.887120953"
"7584078","17/07/2015 08:26:21 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.098606152"
"7596739","22/07/2015 08:25:50 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.640575584"
"7600650","23/07/2015 09:01:00 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","33.291804396"
"7603955","24/07/2015 06:21:37 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.430217034"
"7614368","28/07/2015 06:27:47 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.223248678"
"7623614","30/07/2015 09:47:33 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.725376173"
