"","n","Mean","sd"
"",1,1.37,NA
"AHUGHES",7,1.22957230371429,0.0436482054735798
"BJLEE",13,1.26895491146154,0.0608025175206635
"CTAN",30,1.27401974693333,0.0316623438972725
"HWAIDYARAT",3,1.23675634033333,0.0517704181860958
"JHOU",1,1.293017238,NA
"JKUSUMA",13,1.24587693169231,0.0399639690668305
"KNG",17,1.25048152929412,0.0254233081062364
"MRODERICK",35,1.25966111737143,0.0501420692741157
"MXU",3,1.253644443,0.0112473540053738
"NGILL",33,1.26053302021212,0.0663118123617339
"RREDDY",22,1.28266252077273,0.0282183308444829
"SBHATT",9,1.26120948733333,0.0244666160589157
"SGURRALA",5,1.2498576488,0.0601183879563394
"TLAU",11,1.24522155218182,0.0362628984541214
"WHUITENG",13,1.24653830861538,0.0380543420139586
