"SAMPLE_NUMBER","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","PRODUCT","CUSTOMER","X_CLIENT_CODE","DESCRIPTION","NAME","LAB"
"8167366","01/01/2016 06:39:32 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC31DEC15J1","WPC 35% 25Kg                        2404","MG16000007","CHEMISTRY"
"8167790","01/01/2016 10:08:52 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF30DEC15X4","IFCMP INT.Bag Kg                    3393","MG16000101","CHEMISTRY"
"8167952","01/01/2016 10:55:55 AM","T","SOLI030693","Insolubility Index","","","PDR_FCMP","MG70","KIF31DEC15W1","Instant Full Cream Milk Powder 25kg 3393","MG16000134","CHEMISTRY"
"8168257","01/01/2016 12:46:11 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM30DEC15J2","BMP 25Kg                            2000","MG16000171","CHEMISTRY"
"8168359","01/01/2016 01:55:14 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF31DEC15Q5","IFCMP INT.Bag Kg                    3393","MG16000179","CHEMISTRY"
"8168463","01/01/2016 03:05:23 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM31DEC15J2","BMP 25Kg                            2036","MG16000190","CHEMISTRY"
"8168472","01/01/2016 03:11:47 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS31DEC15J3","MH SMP 25Kg                         4442","MG16000191","CHEMISTRY"
"8168498","01/01/2016 03:22:28 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS01JAN16J1","MH SMP 25Kg                         4442","MG16000194","CHEMISTRY"
"8168591","01/01/2016 04:20:07 PM","T","SOLI030693","Insolubility Index","ML","0.2","PDR_FCMP","MGTDP","XIF31DEC15W1","TDP Instant Milk Powder F/C 25kg    3393","MG16000202","CHEMISTRY"
"8168794","02/01/2016 06:32:45 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC01JAN16J1","WPC 35% 25Kg                        2404","MG16000232","CHEMISTRY"
"8169252","02/01/2016 10:02:20 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM01JAN16J2","BMP 25Kg                            2000","MG16000344","CHEMISTRY"
"8169874","03/01/2016 06:17:02 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC02JAN16J1","WPC 35% 25Kg                        2404","MG16000412","CHEMISTRY"
"8170168","03/01/2016 09:16:07 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS01JAN16J3","MH SMP 25Kg                         4442","MG16000490","CHEMISTRY"
"8170199","03/01/2016 09:26:37 AM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF01JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16000493","CHEMISTRY"
"8170211","03/01/2016 09:29:32 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MHS02JAN16J2","HH SMP 25Kg                         4654","MG16000495","CHEMISTRY"
"8170226","03/01/2016 09:34:32 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF01JAN16X4","IFCMP INT.Bag Kg                    3393","MG16000496","CHEMISTRY"
