"ORIGINAL_SAMPLE","LOGIN_DATE","ANALYSIS","REPORTED_NAME","DATE_STARTED","RELEASED_ON","DATE_REVIEWED","STATUS","LAB","REPLICATE_COUNT"
"9154410","12/10/2016 11:52:45 AM","ASHS010493","Ash- Food and Dairy products (Except Casein/ate)","15/10/2016 09:24:12 AM","15/10/2016 01:27:52 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","ENER011201","Energy Value - Food","20/10/2016 08:27:38 AM","20/10/2016 01:10:52 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","FAME040505","FAME Profile, SMPT - Acidic Fat, Oils & Food (AOAC)","20/10/2016 10:15:52 AM","20/10/2016 03:39:29 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","FATS110399","Fat  - Food - Soxtec Method","18/10/2016 10:48:04 AM","19/10/2016 07:42:15 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","MAAS_PREP","Standard prep","16/10/2016 11:54:20 AM","16/10/2016 03:24:12 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","MICP010406","ICP - Na","17/10/2016 01:22:14 PM","18/10/2016 03:43:51 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","MOIS080693","Moisture - Fruit, Veg & High Sugar","16/10/2016 10:55:59 AM","16/10/2016 01:56:31 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","PREPDTAILS","Sample Prep Details - Contains information of the preped sample","12/10/2016 07:57:17 PM","12/10/2016 07:57:18 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","PROT010201","Protein -  Dairy Products & Foods","14/10/2016 03:29:35 PM","18/10/2016 02:32:43 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","SUGA010493","Total Sugar -  Foods (HPLC)","14/10/2016 12:08:17 PM","17/10/2016 12:34:32 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
"9154410","12/10/2016 11:52:45 AM","TCAR010793","Total Carbohydrate -  Foods","20/10/2016 08:27:38 AM","20/10/2016 01:26:25 PM","20/10/2016 04:12:29 PM","A","CHEMISTRY","1"
