"","SAMPLE_NUMBER","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","REPLICATE_COUNT"
"1",9437868,"MOIS040493","Moisture","PCT_M-M",34.313565143,1
"2",9437870,"MOIS040493","Moisture","PCT_M-M",36.176596657,1
"3",9438255,"MOIS040493","Moisture","PCT_M-M",45.990810251,1
"4",9438255,"MOIS040493","Moisture","PCT_M-M",45.93073023,2
"5",9438266,"MOIS040493","Moisture","PCT_M-M",36.010531106,1
"6",9438266,"MOIS040493","Moisture","PCT_M-M",36.027526212,2
"7",9438267,"MOIS040493","Moisture","PCT_M-M",35.238789163,1
"8",9438267,"MOIS040493","Moisture","PCT_M-M",35.133891901,2
"9",9438269,"MOIS040493","Moisture","PCT_M-M",39.707976029,1
"10",9438269,"MOIS040493","Moisture","PCT_M-M",39.658431438,2
"11",9438375,"MOIS040493","Moisture","PCT_M-M",35.473985744,1
"12",9438788,"MOIS040493","Moisture","PCT_M-M",35.088070456,1
"13",9438790,"MOIS040493","Moisture","PCT_M-M",34.756722786,1
"14",9439210,"MOIS040493","Moisture","PCT_M-M",39.946104199,1
"15",9439210,"MOIS040493","Moisture","PCT_M-M",39.803126431,2
"16",9439213,"MOIS040493","Moisture","PCT_M-M",35.892253661,1
"17",9439213,"MOIS040493","Moisture","PCT_M-M",36.025832091,2
"18",9439443,"MOIS040493","Moisture","PCT_M-M",35.154149935,1
"19",9439444,"MOIS040493","Moisture","PCT_M-M",34.412557845,1
"20",9439446,"MOIS040493","Moisture","PCT_M-M",34.772469636,1
"21",9439552,"MOIS040493","Moisture","PCT_M-M",34.347608732,1
"22",9439553,"MOIS040493","Moisture","PCT_M-M",34.052931677,1
"23",9439554,"MOIS040493","Moisture","PCT_M-M",33.858807402,1
"24",9439555,"MOIS040493","Moisture","PCT_M-M",34.544495367,1
"25",9439556,"MOIS040493","Moisture","PCT_M-M",35.347196927,1
"26",9439558,"MOIS040493","Moisture","PCT_M-M",35.772462831,1
"27",9440309,"MOIS040493","Moisture","PCT_M-M",40.296286498,1
"28",9440309,"MOIS040493","Moisture","PCT_M-M",40.166389351,2
"29",9440312,"MOIS040493","Moisture","PCT_M-M",41.683257337,1
"30",9440312,"MOIS040493","Moisture","PCT_M-M",41.671327521,2
"31",9440780,"MOIS211099","Moisture","PCT_M-M",36.47832993,1
"32",9440827,"MOIS040493","Moisture","PCT_M-M",34.862263525,1
"33",9440827,"MOIS040493","Moisture","PCT_M-M",34.986054143,2
"34",9440841,"MOIS040493","Moisture","PCT_M-M",33.208092486,1
"35",9440841,"MOIS040493","Moisture","PCT_M-M",33.237803687,2
"36",9440848,"MOIS040493","Moisture","PCT_M-M",33.690767299,1
"37",9440848,"MOIS040493","Moisture","PCT_M-M",33.577634808,2
"38",9440903,"MOIS211099","Moisture","PCT_M-M",34.428770326,1
"39",9440907,"MOIS211099","Moisture","PCT_M-M",36.129032258,1
"40",9440954,"MOIS040493","Moisture","PCT_M-M",35.258944617,1
"41",9440956,"MOIS040493","Moisture","PCT_M-M",34.776045939,1
"42",9441088,"MOIS040493","Moisture","PCT_M-M",40.319530486,1
